property_name,prop_location,number_of_rooms,prop_bathrooms,sale_price OMR,prop_area SqM,Ad_Type
ارض للبيع سكنيه في العامرات مدينة النهضه الامتداد الاول,"Al Amarat, Muscat•",3,3,8000,618,For Sale
فيلا منفصلة 400 الموالح,"Al Mawaleh, Muscat•",6,8,117000,400,For Sale
أرض سكنية للبيع القريحة الطاووس ولاية بركاء,"Barka, Al Batinah•",3,3,5000,609,For Sale
"منزل للبيع . . بولاية بركاء  منطقة الحرادي فرصة مناسبة جدا""","Barka, Al Batinah•",3,4,47000,632,For Sale
سارع بالحجز للبيع ارض زراعيه رخيصه في بركاء,"Barka, Al Batinah•",3,3,95000,9,For Sale
فرصة للبيع ارض سكنية بمساحة كبيره,"Qurayyat, Muscat•",3,3,45000,1,For Sale
توين فيلا راقية جدا خلف النسيم,"Barka, Al Batinah•",5,6,77000,330,For Sale
فيلا vip منطقه هادئه في المعبيلة الجنوبيه وقريبه من الخط السريع,"Al Maabilah, Muscat•",6,8,120000,410,For Sale
جزء من توين فيلا منفصلة للبيع في العامرات الخامسة,"Al Amarat, Muscat•",5,5,63000,311,For Sale
فيلا للبيع احدى التوين مباشر من المالك عتكية صناعية قابل للتفاوض,"Al Amarat, Muscat•",4,5,57000,300,For Sale
"muscat bay zen residence studio  downpayment 29,085","Qantab, Muscat•",3,1,67000,60,For Sale
مكتب للبيع بواجهه اماميه على شارع الموج وقريب من المطار ومدينه الموج,"The Wave (Almouj), Muscat•",3,3,75000,136,For Sale
فيلا من ٣ شقق واسعة,"Al Hail, Muscat•",9,12,146000,580,For Sale
very good land big,"Bosher, Muscat•",3,3,195000,802,For Sale
Al ansab phese 1,"Bosher, Muscat•",3,3,170000,783,For Sale
1 BHK Furnished apartment The Links Muscat Hills (Lifetime Residency),"Muscat Hills, Muscat•",1,2,58000,73,For Sale
بيت بموقع ممتاز ومرتفع بالقرم للبيع,"Qurum, Muscat•",12,12,2000,3,For Sale
للبيع ارض في بركاء حي عاصم سوبر كورنر,"Barka, Al Batinah•",3,3,26000,600,For Sale
فله طابق للبيع,"Al Amarat, Muscat•",3,3,38000,140,For Sale
منزل للبيع الدسرPA,"Sumail, Al Dakhiliya•",5,5,48000,240,For Sale
sea and marina view almouj,"The Wave (Almouj), Muscat•",1,2,79000,83,For Sale
فلة طابقين على شارع الرحبة مقابل محطة التناكر,"Al Amarat, Muscat•",8,6,66000,344,For Sale
بركاء النهضه المرحلة الأولى السوادي جنوب،،،,"Barka, Al Batinah•",3,3,6000,600,For Sale
المصنعة,"Al Masn'a, Al Batinah•",3,3,41000,4,For Sale
فرصة للاستثمار الثابت,"Ibra, Al Sharqiya•",11,11,55000,300,For Sale
فيلا للبيع في العامرات حيم,"Al Amarat, Muscat•",4,5,52000,320,For Sale
منزل للبيع بالاثاث الجديد و مكتمل الاجهزه الإلكترونية,"Al Khaboura, Al Batinah•",3,4,45000,235,For Sale
البريمي (العقده الشماليه),"Al Buraimi, Al Buraimi•",3,3,3000,704,For Sale
البريمي,"Al Buraimi, Al Buraimi•",3,3,3000,642,For Sale
ارض سكني للبيع ولايه صحار طريف غرب,"Sohar, Al Batinah•",3,3,33000,1,For Sale
Executive class one bedroom apartment in Al Khwair,"Al Khuwair, Muscat•",1,2,48000,86,For Sale
barbershop ghala fish market,"Ghala, Muscat•",3,3,3000,100,For Sale
الخوض السابعه,"Al Seeb, Muscat•",3,3,180000,900,For Sale
العامرات الحاجر,"Al Amarat, Muscat•",3,3,8000,600,For Sale
للبيع الواسط وادي المعاول,"Wadi Al Ma'awal, Al Batinah•",3,3,12000,600,For Sale
بناية للبيع في موقع ممتاز منزل ومحلات ومؤجرة بالكامل,"Ibri, Al Dhahirah•",3,3,47000,241,For Sale
مسقط /قريات,"Qurayyat, Muscat•",3,3,10000,600,For Sale
shop for sale,"Al Rusayl, Muscat•",3,3,4000,1,For Sale
ارض تجارية للبيع,"Mirbat, Dhofar•",3,3,7000,405,For Sale
House for sale on Masirah Island,"Masira, Al Sharqiya•",2,2,27000,600,For Sale
منزل للبيع موقع العامرات,"Al Amarat, Muscat•",3,3,33000,350,For Sale
بدبد ، القضاعية.,"Bidbid, Al Dakhiliya•",3,3,18000,826,For Sale
Flat 1bhk in muscat hills,"Muscat Hills, Muscat•",1,2,64000,93,For Sale
ارض سكنية من المالك في فنجاء - سيب مهري,"Bidbid, Al Dakhiliya•",3,3,32000,593,For Sale
ابحث عن شقه بصور عاجله,"Al Amarat, Muscat•",2,2,1000,70,For Sale
للبيع شقه مكونة من غرفه وصاله ومطبخ ودورتين مياه في الخوض السادسة,"Al Khoud, Muscat•",1,2,27000,50,For Sale
أرض سكنية للبيع في ولاية نزوى منطقة المعيمير 3 مساحة كبيرة,"Nizwa, Al Dakhiliya•",3,3,22000,796,For Sale
ارض سكنية ولا أروع منها,"Barka, Al Batinah•",1,0,10000,611,For Sale
ارض سكنية ولا أروع منها,"Barka, Al Batinah•",3,3,10000,611,For Sale
فررصه سكني تجاري,"Al Amarat, Muscat•",3,3,61000,200,For Sale
looking for shope Sales or investor /partnor,"Al Khoud, Muscat•",3,3,7000,60,For Sale
بيع فله راقيه في المعبيله,"Al Seeb, Muscat•",6,7,78000,385,For Sale
فلا للبيع البريمي,"Al Buraimi, Al Buraimi•",5,4,5000,549,For Sale
ولايه عبري,"Ibri, Al Dhahirah•",3,3,9000,750,For Sale
ازكي شافع,"Izki, Al Dakhiliya•",3,3,9000,600,For Sale
6th-Floor pool view Yiti Sustainable City  عرض محدود! ا,"Yiti, Muscat•",3,1,64000,52,For Sale
ارض للبيع,"Ibra, Al Sharqiya•",3,3,13000,630,For Sale
للبيع أرض سكنيه الرستاق مخطط الشهامه,"Al Rustaq, Al Batinah•",3,3,3000,500,For Sale
انا المالك الحاجر الأولى حيم خلف جامع العزيز تبعد350 عن الشارع الرئيسي,"Al Amarat, Muscat•",3,3,10000,600,For Sale
أرض سكنية للبيع في المعبيلة 1000 متر,"Al Maabilah, Muscat•",3,3,130000,1,For Sale
أرضين صك للبيع,"Salalah, Dhofar•",3,3,53000,1,For Sale
للبيع مساحه ارض٧٣٠,"Bidbid, Al Dakhiliya•",3,3,6000,730,For Sale
بيت للبيع  سمائل طوي النص الثالثه بجميع ادواته الكهربائية,"Sumail, Al Dakhiliya•",3,5,58000,237,For Sale
سكنيه  بالرميس أول خط الطريق الساحلي  تميز بالموقع,"Barka, Al Batinah•",3,3,55000,1,For Sale
مصنعه ملده,"Al Masn'a, Al Batinah•",3,3,22000,707,For Sale
للبيع في طوي النصف,"Sumail, Al Dakhiliya•",3,3,10000,600,For Sale
ارض للبيع,"Al Amarat, Muscat•",3,3,10000,600,For Sale
ارض زراعية مكان طيب قريب وحدات سكنية واستراحات فالسوادي الحضيب,"Muscat - Other, Muscat•",3,3,135000,7,For Sale
للبيع ارض في الطيب,"Ibri, Al Dhahirah•",3,3,2000,600,For Sale
للبيع ارض سكنيه في تنعم,"Ibri, Al Dhahirah•",3,3,4000,640,For Sale
ارض سكنيه في ( البله ),"Mutrah, Muscat•",3,3,28000,1,For Sale
(مباشر من المالك) الخوير17,"Al Khuwair, Muscat•",3,3,88000,319,For Sale
عاجل شاليه للبيع في صور على البحر مباشرة,"Sur, Al Sharqiya•",2,4,57000,600,For Sale
منزل للبيـع,"Sumail, Al Dakhiliya•",3,3,80000,483,For Sale
كورنر الشهامه وسط البيوت,"Al Rustaq, Al Batinah•",3,3,4000,500,For Sale
"Clinic for Sale in Sohar (Currently Running, 1 Doctor)","Sohar, Al Batinah•",3,3,9000,90,For Sale
بركاء-السلاحه,"Barka, Al Batinah•",3,3,20000,615,For Sale
ارض للبيع في المعبيلة,"Al Maabilah, Muscat•",3,3,60000,660,For Sale
modern 2 bedroom furnished chalet with private swimming pool for sale,"Barka, Al Batinah•",2,2,59000,633,For Sale
أرض زراعيه مميزه في المصنعة أبوعبالي الساحل فرصة للإستثمار,"Al Masn'a, Al Batinah•",3,3,200000,27,For Sale
فرصه / 3 اراضي في عبري بسعر اقل من السوق,"Ibri, Al Dhahirah•",3,3,11000,1,For Sale
منزل جديد في المويلح الرابعة,"Sohar, Al Batinah•",2,3,50000,610,For Sale
شارع البركات,"Al Hail, Muscat•",3,3,460000,710,For Sale
العامرات,"Al Amarat, Muscat•",3,3,14000,400,For Sale
للبيع: أرض سكنية فضاء - الجفنين - ولاية السيب,"Al Rusayl, Muscat•",3,3,79000,1,For Sale
بركاء بجوار حديقة النسيم أراضي سكنيات كورنرات,"Barka, Al Batinah•",3,3,1000,600,For Sale
Twin Villa for sale in Amarat no. 8,"Al Amarat, Muscat•",4,6,76000,600,For Sale
فرصة استثمارية,"Ibra, Al Sharqiya•",3,3,4000,618,For Sale
أرضين شبك في بركاء الدهس,"Barka, Al Batinah•",3,3,23000,1,For Sale
فيلا حديثة للبيع في المعبيلة مسكونه و نظيفه,"Al Maabilah, Muscat•",5,6,90000,300,For Sale
الحفري,"Barka, Al Batinah•",3,3,140000,17,For Sale
بناية سكنيه في الحيل الجنوبية,"Al Hail, Muscat•",3,3,320000,997,For Sale
ارض سكني تجاري في المعبيلة السابعة,"Al Maabilah, Muscat•",3,3,300000,750,For Sale
الموالح,"Al Mawaleh, Muscat•",4,6,69000,300,For Sale
للبدل ارض مع البيت,"Al Amarat, Muscat•",3,3,15000,642,For Sale
توين فيلا جديدة متلاصقة في بركاء الصومحان (يمنع الوسطاء ),"Barka, Al Batinah•",6,8,47000,312,For Sale
محل في بازار صحار للبيع,"Sohar, Al Batinah•",3,3,75000,65,For Sale
العامرات الحشية,"Al Amarat, Muscat•",3,3,6000,600,For Sale
ارض طيمساء المرحلة الاولى,"Nizwa, Al Dakhiliya•",3,3,9000,630,For Sale
طيمسا نزوى,"Nizwa, Al Dakhiliya•",3,3,8000,900,For Sale
استراحه للبيع جاهزه وبسعر رخيص,"Barka, Al Batinah•",2,5,59000,1,For Sale
للبيع ارض سكنيه زاويه ف العذيبه مساحة 980  متر مربع,"Azaiba, Muscat•",3,3,225000,980,For Sale
إبراء مصرون,"Ibra, Al Sharqiya•",3,3,7000,962,For Sale
ارض سكنيه في المزيونه ركنيه,"Al Mazyona, Dhofar•",3,3,1000,1,For Sale
للبيع أرض سكنية في جزيرة مصيرة  ، مربع النهضة 1,"Masira, Al Sharqiya•",3,3,9000,600,For Sale
ongoing grocery shop for sale محل بقالة قائم للبيع,"Al Seeb, Muscat•",3,3,7000,100,For Sale
للبيع محل,"Al Mudaibi, Al Sharqiya•",3,3,4000,100,For Sale
ارض في طيمساء المرحلة الاولى,"Nizwa, Al Dakhiliya•",3,3,10000,717,For Sale
ارض للبيع الفاغره,"Barka, Al Batinah•",3,3,13000,600,For Sale
ارض للبيع في السلاحه,"Barka, Al Batinah•",3,3,22000,600,For Sale
وادي الكبير بجنب جامع جابر بن زيد,"Al Wadi Al Kabir, Muscat•",3,3,85000,380,For Sale
ارض للبيع قريب حديقه الصحوه وسيتي سنتر,"Al Mawaleh, Muscat•",3,3,105000,680,For Sale
amazing flat in bar Aljesah fully furnished  nice view,"Barr Al Jissah, Muscat•",2,3,180000,200,For Sale
amazing fully  furnished  flat  in zQantab bar al jessah,"Barr Al Jissah, Muscat•",2,2,185000,200,For Sale
ارض للبيع  مخطط بجزماء  الحديثه قريبه جدا من الشارع,"Suwaiq, Al Batinah•",3,3,7000,600,For Sale
بناية سكني تجاري للبيع جاهزة,"Sohar, Al Batinah•",3,3,80000,300,For Sale
Nice villa near Wave 3 bedroom,"Al Mawaleh, Muscat•",3,3,100000,300,For Sale
ارض للبيع في العذيبة - المنصورية,"Azaiba, Muscat•",3,3,98000,440,For Sale
فررصه بركاء ابو نخيل شمال,"Barka, Al Batinah•",3,3,18000,613,For Sale
ارض للبيع,"Wadi Al Ma'awal, Al Batinah•",3,3,11000,600,For Sale
musthafa,"Salalah, Dhofar•",1,0,1000,806,For Sale
ارض في صحم الردة,"Saham, Al Batinah•",3,3,15000,700,For Sale
restaurant for sale,"Al Wadi Al Kabir, Muscat•",3,3,1000,180,For Sale
أرض للبيع,"Al Amarat, Muscat•",3,3,20000,600,For Sale
ارض كونر السيب سور الحديد,"Al Seeb, Muscat•",3,3,45000,465,For Sale
أرض للبيع في ولاية العوابي,"Al 'Awabi, Al Batinah•",3,3,10000,617,For Sale
أرض في الخوض الشعبية سوبر كونر، مفتوحه على ٣ جهات,"Al Khoud, Muscat•",3,3,75000,500,For Sale
Residential Land at Hay Asim  ارض سكنية في حي عاصم,"Barka, Al Batinah•",3,3,19000,600,For Sale
shop for sale,"Al Khoud, Muscat•",3,3,4000,45,For Sale
للبيع أرض سكنية مميزة ركنية في صحلنوت مربع و,"Salalah, Dhofar•",3,3,27000,646,For Sale
محل كي وغسيل ملابس للبيع,"Al Maabilah, Muscat•",3,3,2000,60,For Sale
نزوى ١,"Nizwa, Al Dakhiliya•",3,3,11000,640,For Sale
أرض سكني تجاري للبيع,"Al Masn'a, Al Batinah•",3,3,49000,620,For Sale
1200م على الصف الاول من شارع ١٨ نوفمبر (الدائري),"Salalah, Dhofar•",3,3,79000,1,For Sale
فيلا بمجمع رحاب السكني,"Al Mawaleh, Muscat•",5,5,95000,310,For Sale
hills avenue 1bhk for sale,"Muscat Hills, Muscat•",1,2,62000,65,For Sale
فرصه لا تفوت لمحبين المساحه 1996 والخصوصية,"Al Masn'a, Al Batinah•",3,3,24000,1,For Sale
أرض منطقة الفليج الثانية ، بركاء,"Barka, Al Batinah•",3,3,15000,630,For Sale
أراضي للبيع في المراني ١,"Ibra, Al Sharqiya•",3,3,12000,1,For Sale
ارض للبيع العامرات,"Al Amarat, Muscat•",3,3,8000,600,For Sale
ارض للبيع في حي سكني راقي حي عاصم,"Barka, Al Batinah•",3,3,23000,602,For Sale
ڤلا من أصل توين ڤلا للبيع في المعبيله المرحلة الثالثة,"Al Maabilah, Muscat•",4,5,67000,338,For Sale
ارضين في مصيرة شبك,"Masira, Al Sharqiya•",3,3,12000,1,For Sale
منزل للبيع,"Al Amarat, Muscat•",3,5,66000,255,For Sale
للبيع شقه في شارع مسقط مول قريب من خط السريع,"Al Maabilah, Muscat•",3,2,25000,111,For Sale
‏فيلا جديدة للبيع في الحيل السبب  القريبة جدا من الشاطئ 70 متر,"Al Seeb, Muscat•",5,6,185000,378,For Sale
* ارض سكني تجاري للبيع بولاية نزوي خلف جامع السلطان قابوس,"Nizwa, Al Dakhiliya•",3,3,67000,715,For Sale
Brand new villa near  Al rhmout mosque in mobelah excellent location,"Al Maabilah, Muscat•",4,4,75000,350,For Sale
للبيع مزرعه في ولاية السويق,"Suwaiq, Al Batinah•",3,3,300000,42,For Sale
بهلاء,"Bahla, Al Dakhiliya•",3,3,7000,835,For Sale
Mobile shop for sale/rent,"Ruwi, Muscat•",3,3,1000,50,For Sale
coffee shop for sell,"Salalah, Dhofar•",3,3,4000,26,For Sale
corner personal villa in Mobeleh 8 near mosque and shops,"Al Maabilah, Muscat•",4,4,76000,350,For Sale
industrial  plot in Jifnin  near factories workshops price reduced i,"Al Rusayl, Muscat•",3,3,95000,1,For Sale
صحار عوتب,"Sohar, Al Batinah•",3,3,20000,1,For Sale
ارض صناعيه بالجفنين  مسوره  وموجه موجرة  وبها غرفتين وعداد كهرباء,"Al Rusayl, Muscat•",3,3,95000,1,For Sale
residential land in South maweleh near sahwa park and city centre,"Al Mawaleh, Muscat•",3,3,100000,680,For Sale
"أرض كورنر للبيع مفتوحة من ثلاث جهات، الحزم/الرستاق، مطلوب 13,800 ريال","Al Rustaq, Al Batinah•",3,3,13000,737,For Sale
ارض في العامرات بعي,"Al Amarat, Muscat•",3,3,6000,812,For Sale
20 fit or 40 fit container,"Muscat - Other, Muscat•",3,3,900000,12,For Sale
سكنية بموقع مميز بالبطحاء ٣,"Suwaiq, Al Batinah•",3,3,20000,644,For Sale
بيع ارض في سور ال حديد,"Al Seeb, Muscat•",3,3,44000,505,For Sale
ارض سكنيه في ولاية إبراء,"Ibra, Al Sharqiya•",3,3,6000,600,For Sale
أرض سكنية للبيع طيمساء 1 مفتوحة من ثلاث جهات - زاوية، 732م2,"Nizwa, Al Dakhiliya•",3,3,11000,732,For Sale
DIRECT from OWNER Residential-Commercial سكني تجاري building  for sale,"Ruwi, Muscat•",3,3,310000,412,For Sale
سكنيات الطيب سوبر كونر ع شارعين وسكة,"Ibri, Al Dhahirah•",3,3,5000,1,For Sale
ولاية بدبد سيح الأحمر,"Bidbid, Al Dakhiliya•",5,9,160000,618,For Sale
فيلا للبيع في الحيل الشماليه,"Al Seeb, Muscat•",4,4,88000,287,For Sale
شقه للبيع سوق الخوض التجاري,"Al Khoud, Muscat•",2,2,38000,89,For Sale
منزل للبيع,"Ibri, Al Dhahirah•",3,5,53000,300,For Sale
National portacabin,"Al Rusayl, Muscat•",3,3,1000,20,For Sale
ولاية شناص، العقر,"Shinas, Al Batinah•",3,3,9000,778,For Sale
للبيع منزل شعبي في السيب منطقه الشرادي مؤجر ب100 ريال قابل للزياده,"Al Seeb, Muscat•",4,3,28000,122,For Sale
سكني مرباط مربع . و. مفتوحة من ثلاثة اتجاهات,"Mirbat, Dhofar•",3,3,10000,799,For Sale
ارض الخابورة الفصف,"Al Khaboura, Al Batinah•",3,3,2000,600,For Sale
فيلا للبيع منطقة فلج الشام الثانية,"Bosher, Muscat•",7,7,1000,490,For Sale
أرض سكني  تجاري في الخوير المرحلة 3,"Al Khuwair, Muscat•",3,3,400000,800,For Sale
أرض سكنية في الفليج القديمة,"Barka, Al Batinah•",3,3,22000,600,For Sale
ارضين للبيع بركاء الهرم مساحة ١٣٧٧ من المالك,"Barka, Al Batinah•",3,3,40000,1,For Sale
السويق منطقة بدي العمود خدمات متكامله والارض مسورة,"Suwaiq, Al Batinah•",3,3,8000,603,For Sale
فيلا للبيع في منطقة البديعه الجديده مطلوب 27 الف ريال,"Al Masn'a, Al Batinah•",4,4,27000,195,For Sale
coffee shof for sale,"Barka, Al Batinah•",3,3,3000,50,For Sale
Twin Villa For Sale,"Al Amarat, Muscat•",5,6,79000,350,For Sale
salon for sale ( whatsapp me ) for more details,"Al Khoud, Muscat•",3,3,7000,123,For Sale
Luxury Villa for sale in Al Mouj,"The Wave (Almouj), Muscat•",7,7,666000,524,For Sale
فيلا للبيع,"Al Seeb, Muscat•",3,6,130000,330,For Sale
للبيع محل حلاقه,"Manah, Al Dakhiliya•",3,3,1000,10,For Sale
للبيع اراضي شبك ومتفرقه في ديل ال عبدالسلام,"Saham, Al Batinah•",3,3,22000,650,For Sale
للبيع ارض بطحاء الاشخر,"Saham, Al Batinah•",3,3,13000,634,For Sale
أرض في الموالح الجنوبية للبيع,"Al Mawaleh, Muscat•",3,3,190000,1,For Sale
فيلا للبيع بالموالح بسعر مغري من المالك مباشرة,"Al Mawaleh, Muscat•",7,7,190000,1,For Sale
فيلا بالحيل الشماليه تم تخفيض السعر,"Al Hail, Muscat•",9,11,90000,517,For Sale
ارض للبيع طوي النصف سمائل قريبة وعلى شارع قار,"Sumail, Al Dakhiliya•",3,3,13000,600,For Sale
شقة مؤثثة للبيع . المعبيلة.  قرب جامع الحياة,"Al Maabilah, Muscat•",2,3,24000,100,For Sale
انا المالك ارض سكنية في مخطط جنوب الشخاخيط,"Barka, Al Batinah•",3,3,30000,600,For Sale
للبيع أرض صناعية فى المعبيلة الجنوبية,"Al Maabilah, Muscat•",3,3,1000,6,For Sale
Restaurant for Sale in RUWI,"Ruwi, Muscat•",3,3,9000,125,For Sale
منزل الخط الاول مدينه السلطان قابوس,"Madinat As Sultan Qaboos, Muscat•",6,6,750000,1,For Sale
ارض صناعية للبيع/البريمي,"Al Buraimi, Al Buraimi•",3,3,18000,1,For Sale
بركاء الفليج,"Barka, Al Batinah•",3,3,16000,630,For Sale
أرض زراعية فى السويق خظراء بورشيد,"Suwaiq, Al Batinah•",3,3,42000,3,For Sale
ارض سكنيه في العوابي بوشر,"Bosher, Muscat•",3,3,75000,600,For Sale
أرض الحشيه الثانية للبيع,"Al Amarat, Muscat•",3,3,5000,600,For Sale
مسقط الراوية بعد مركز صحي مسقط على شارع مباشر,"Muscat - Other, Muscat•",8,5,110000,272,For Sale
barber shop for sale حلاق رجالي للبيع,"Sohar, Al Batinah•",3,3,2000,46,For Sale
أرض في المعبيله الجنوبيه سكني للبيع,"Al Seeb, Muscat•",3,3,65000,827,For Sale
ارض سكنية بطحاء هلال,"Suwaiq, Al Batinah•",3,3,26000,1,For Sale
ارض زراعيه رقم 8,"Suwaiq, Al Batinah•",3,3,26000,2,For Sale
بركاء,"Barka, Al Batinah•",3,2,29000,110,For Sale
أرض سكنية ومزرعه للبيع,"Bidbid, Al Dakhiliya•",3,3,70000,2,For Sale
مباشرة من المالك للبيع ارض سكنية وتجارية في المعبيلة الجنوبية  2/5,"Al Maabilah, Muscat•",3,3,105000,400,For Sale
لوى  مدينة  الطيب,"Liwa, Al Batinah•",3,3,13000,521,For Sale
بيع ارض ف  ف قلب السنيه متوفر جميع الخدمات,"Al Sinainah, Al Buraimi•",3,3,5000,969,For Sale
منزل للبيع,"Saham, Al Batinah•",3,4,60000,3,For Sale
land for sale,"Madinat As Sultan Qaboos, Muscat•",3,3,535000,1,For Sale
أرض سكنية،سوق روي، الحمرية,"Ruwi, Muscat•",3,3,19000,147,For Sale
صلالة شقة  للبيع بموقع ممتاز,"Salalah, Dhofar•",2,2,22000,75,For Sale
المعيمير 4 قريبة من الشارع ف بداية المخطط,"Nizwa, Al Dakhiliya•",3,3,16000,611,For Sale
منزل طابقين للبيع في مصنعه,"Al Masn'a, Al Batinah•",5,5,43000,240,For Sale
أرض سكنية بالعقدة جنوب المرحلة الثانية الفيضة,"Al Buraimi, Al Buraimi•",3,3,7000,631,For Sale
للبيع منزل سكني في الخوض – موقع مميز,"Al Khoud, Muscat•",6,8,73000,450,For Sale
فرصه للمستثمرين أرض في مرتفعات غلا,"Azaiba, Muscat•",3,3,950000,20,For Sale
"new privat ville in Jebel Sifah Resort for sale, 3 Rooms. covered pool","Al Sifah, Muscat•",3,4,195000,820,For Sale
Grocery - Distinguished business leadership,"Al Amarat, Muscat•",3,3,1000,55,For Sale
فيلا مستقلة في الحيل الجنوبية بالقرب من شارع البركات,"Al Hail, Muscat•",9,9,175000,600,For Sale
سكنيـــة كورنــــر الأشخـــــــرة,"Ja'alan Bani Bu Ali, Al Sharqiya•",3,3,7000,662,For Sale
فلة للبيع,"Al Maabilah, Muscat•",5,8,100000,420,For Sale
بيع مزرعه في المضيبي بقريه لزق,"Al Mudaibi, Al Sharqiya•",3,3,14000,1,For Sale
شقه للبيع,"Al Khoud, Muscat•",3,2,40000,101,For Sale
فلتين للبيع قريب الشارع العام  بركاء الهرم شمال,"Barka, Al Batinah•",4,5,52000,254,For Sale
سكني تجاري في ضباب,"Qurayyat, Muscat•",3,3,430000,8,For Sale
محل تجاري للبيع,"Al Maabilah, Muscat•",3,3,23000,50,For Sale
للبيع شقة في صلالة,"Salalah, Dhofar•",1,1,11000,39,For Sale
Ladies Gym for Sale,"Sohar, Al Batinah•",3,3,25000,325,For Sale
شقه للبيع بالقرب من الجامع الأمين,"Bosher, Muscat•",3,3,47000,90,For Sale
ارض ف صناعية بركا,"Barka, Al Batinah•",3,3,100000,1,For Sale
شقة للبيع في صلاله عوقد بسعر مغري,"Salalah, Dhofar•",2,2,25000,150,For Sale
شقه سكني تجاري للبيع,"Ansab, Muscat•",3,2,31000,91,For Sale
شقه ممتازه في الموالح الجنوبيه خلف مزن مول,"Al Mawaleh, Muscat•",1,2,35000,80,For Sale
مرتفعات الخابوره,"Al Khaboura, Al Batinah•",3,3,7000,651,For Sale
ارض زراعية,"Al Khaboura, Al Batinah•",3,3,48000,4,For Sale
للبيع فيلا سكنية راقية مفروشة بالكامل – العذيبة، مسقط,"Azaiba, Muscat•",5,8,122000,350,For Sale
فرصة ذهبية في قلب مسقط Golden Investment in Heart of Muscat,"Muscat Hills, Muscat•",3,3,75000,49,For Sale
نزوى حي التراث,"Nizwa, Al Dakhiliya•",3,3,15000,600,For Sale
Land for sale in Al Dahs,"Barka, Al Batinah•",3,3,10000,600,For Sale
ارض كورنر العوابي بوشر,"Bosher, Muscat•",3,3,65000,600,For Sale
الدهس الجديدة بركاء,"Barka, Al Batinah•",3,3,14000,611,For Sale
مطلوب ارض,"Al Mawaleh, Muscat•",3,3,90000,600,For Sale
ارض في شاطئ السيب,"Al Seeb, Muscat•",3,3,90000,600,For Sale
ارض تجاري كورنر 1000 متر,"Sohar, Al Batinah•",3,3,50000,1,For Sale
٣ أراضي شبك بلوى الفليج خط أول .,"Liwa, Al Batinah•",3,3,24000,1,For Sale
ولاية لوى حلة الشيخ,"Liwa, Al Batinah•",3,3,50000,9,For Sale
فرصة خلف الجامعة الألمانية,"Al Maabilah, Muscat•",3,3,33000,600,For Sale
بيت للبيع في منطقة بوشر الشعبية مساحة الأرض ٤٣٩,"Bosher, Muscat•",3,3,95000,439,For Sale
للبيع منزل عائليه ثلاث طوابق في القرم,"Qurum, Muscat•",7,7,80000,206,For Sale
ارض للبيع في المصنعه قريحات من المالك مباشره,"Al Masn'a, Al Batinah•",3,3,11000,717,For Sale
Land for sale أرض للبيع,"Al Amarat, Muscat•",3,3,50000,625,For Sale
فلل للبيع,"Al Maabilah, Muscat•",7,8,90000,382,For Sale
بيع منزل,"Barka, Al Batinah•",8,8,78000,350,For Sale
أرض للبيع,"Dima and Al Taaiyin, Al Sharqiya•",3,3,33000,2,For Sale
دماء والطائيين,"Dima and Al Taaiyin, Al Sharqiya•",3,3,13000,757,For Sale
صلاله الوسطئ,"Salalah, Dhofar•",12,9,60000,334,For Sale
cement product,"Al Masn'a, Al Batinah•",3,3,1000,20,For Sale
أرض زراعية في ولاية إبراء قرية اليحمدي,"Ibra, Al Sharqiya•",3,3,12000,3,For Sale
ارض سكنية ببركاء حي عاصم,"Barka, Al Batinah•",3,3,19000,600,For Sale
توين فيلا بالمعبيلة الثامنة ، اقراء الوصف,"Al Maabilah, Muscat•",5,7,71000,300,For Sale
محل اثاث للبيع او للاستثمار او الحلو shop for seal,"Al Maabilah, Muscat•",3,3,1000,50,For Sale
أرض للبيع,"Al Amarat, Muscat•",3,3,4000,600,For Sale
توين فيلا جديدة بتصميم عصري في مرتفعات بوشر,"Bosher, Muscat•",7,9,188000,420,For Sale
ارض للبيع ف شلاشل,"Ibri, Al Dhahirah•",3,3,4000,630,For Sale
فرصة استثمارية مميزة في قلب السيب - الحيل الشمالية,"Al Hail, Muscat•",3,3,240000,2,For Sale
ارض للبيع بسعر مغري جدا,"Shinas, Al Batinah•",3,3,2000,600,For Sale
أرض سكنية للبيع عز ٣,"Nizwa, Al Dakhiliya•",3,3,6000,662,For Sale
ارض للبيع او البدل بدبد / للحن الارض قريب العين وجنبها منازل,"Bidbid, Al Dakhiliya•",3,3,9000,643,For Sale
Turkish setup coffee shop for sale at Alhail,"Al Hail, Muscat•",3,3,4000,64,For Sale
شقق مؤجره البيع ( للاستثمار العقاري),"Al Maabilah, Muscat•",1,1,21000,61,For Sale
سكنية الموالح الجنوبية,"Al Mawaleh, Muscat•",3,3,180000,900,For Sale
منزل للبيع,"Al Maabilah, Muscat•",4,7,90000,300,For Sale
Jebel Sifah exclusive farm,"Al Sifah, Muscat•",3,4,288000,1,For Sale
Town House,"Al Seeb, Muscat•",3,4,75000,221,For Sale
سكني تجاري في المسفاة (Al Misfa),"Muscat - Other, Muscat•",3,3,75000,400,For Sale
أرض شبك مميزة للبيع بركا الرميس مطلة على السريع,"Barka, Al Batinah•",3,3,63000,1,For Sale
2 BHK apartment seaview & lagoon view – Freehold & Direct from Owner,"The Wave (Almouj), Muscat•",2,2,144000,125,For Sale
