property_name,prop_location,number_of_rooms,prop_bathrooms,sale_price OMR,prop_area SqM,Ad_Type
شقة سكنية للبيع ف المعبيلة حي الرحبة قريب مدرسة منار الحكمة,"Al Maabilah, Muscat•",3,3,25000,101,For Sale
Sea View 1BHK Appartment FreeHold Installmentشقة بغرفة نوم واحدة للبيع,"Yiti, Muscat•",1,2,105000,78,For Sale
Last Chance| Courtyard Villa at The Sustainable City–Yiti | فيلا للبيع,"Yiti, Muscat•",3,5,236000,252,For Sale
شقة للبيع في مرتفعات المطار غلا – بسعر لا يفوت ابتداء من 26 ألف ريال,"Ghala, Muscat•",1,2,26000,60,For Sale
Villa fo sale with 3 bedrooms- فيلا للبيع بثلاث غرف نوم,"Yiti, Muscat•",3,4,238000,237,For Sale
Apartment in Muscat for Sale- شقة في مسقط للبيع,"Yiti, Muscat•",2,3,128000,120,For Sale
منزل مستقل للبيع في المعبيلة مقابل جامع السلطان تيمور بن فيصل,"Al Maabilah, Muscat•",3,4,66000,509,For Sale
فيلا بجودة بناء عالية للبيع في مرتفعات الأنصب,"Ansab, Muscat•",4,6,205000,405,For Sale
فيلا للبيع في الخوض السادسة,"Al Khoud, Muscat•",6,7,160000,300,For Sale
فيلا راقية للبيع في مرتفعات الأنصب Luxury vila for sale inAnsab hights,"Ansab, Muscat•",7,9,225000,704,For Sale
فلة مزرعة للبيع في منتجع السيفة,"Al Sifah, Muscat•",4,5,245000,1,For Sale
تملك شقتك في مسقط بالاقساط علي 100 شهر بدون فوائد,"Al Maabilah, Muscat•",2,2,25000,100,For Sale
تملك شقتك بقسط شهري 200 ريال ف مسقط,"Al Maabilah, Muscat•",2,2,25000,100,For Sale
3 Bedrooms Villa For Sale with Swimming Pool,"The Wave (Almouj), Muscat•",3,3,320000,269,For Sale
محل للبيع تجاري في موقع مميز وفرصة استثمارية عالية وفريدة,"Ghala, Muscat•",3,3,36000,44,For Sale
مكتب للبيع في موقع حيوي ومميز وبالقرب من كل الخدمات,"Ghala, Muscat•",3,3,48000,97,For Sale
محل للبيع تجاري في موقع استراتيجي وعائد استثماري عالي,"Al Ghubrah, Muscat•",3,3,28000,28,For Sale
Serviced 1 BHK Apartment | 3 Years Payment Plan | La Vie Residences,"Muscat - Other, Muscat•",1,2,124000,105,For Sale
Fully Serviced and Furnished Studio Apartment for Sale in La Vie,"Muscat Hills, Muscat•",3,1,65000,64,For Sale
1 BR Appartment | Sustainable City Yiti | شقة بغرفة نوم واحدة| ROI: 9%,"Yiti, Muscat•",1,2,79000,79,For Sale
شقة بغرفتي نوم 2 | الدفع بالتقسيط  في مدينة يتي المستدامة,"Yiti, Muscat•",2,3,127000,118,For Sale
FREE HOLD!! Amazing 2+1 Bedroom Apartment For Sale in AL Mouj,"The Wave (Almouj), Muscat•",2,2,120000,127,For Sale
ADS702***Brand New 1BHK Apartment for Sale – Prime Opportunity!,"Bosher, Muscat•",1,2,33000,80,For Sale
ADS701***Brand New 2BHK Apartment for Sale – Prime Opportunity!,"Bosher, Muscat•",2,3,43000,110,For Sale
ADS302**للبيع فيلا تشطيبات راقية في الخوض السابعة,"Al Khoud, Muscat•",7,8,135000,484,For Sale
Furnished Farm for Sale in Jebel Sifah with beautiful views,"Al Sifah, Muscat•",3,3,205000,177,For Sale
Own Your Apartment Now in Sultan Haitham City,"Sultan Haitham City, Muscat•",1,1,54000,67,For Sale
"تاون هاوس للبيع, مدينة السلطان هيثم | Townhouse Sultan Haitham City","Sultan Haitham City, Muscat•",3,3,111000,194,For Sale
"Best Price 1 Bedroom Freehold Apartment for Sale Jebel Sifah, Muscat","Al Sifah, Muscat•",1,1,50000,61,For Sale
"Zunairah Villas – Redefining Ultra-Luxury Living in Al Mouj, Muscat","The Wave (Almouj), Muscat•",7,7,4000,2,For Sale
Luxury Lakefront Villa with Private Pool – Al Mouj,"The Wave (Almouj), Muscat•",5,5,530000,534,For Sale
Villa For Sale- 3 Bedroom Villa,"Yiti, Muscat•",3,4,254000,257,For Sale
مكاتب قيد الانشاء للبيع - المعبيلة| Off plan offices for sale,"Al Maabilah, Muscat•",3,3,25000,65,For Sale
Free Hold!! Own Your 1-Bedroom Apartment in Wadi Zaha - SHC,"Al Seeb, Muscat•",1,2,58000,75,For Sale
FREE HOLD!! Own your standalone villa in Wadi Zaha - SHC,"Sultan Haitham City, Muscat•",4,6,340000,388,For Sale
Spacious 4-Bedroom Farmhouse for Sale in Jebel Sifah,"Al Sifah, Muscat•",4,4,300000,1,For Sale
"2-Bedroom Apartment for Sale – Almeria North, Al Mouj Muscat","The Wave (Almouj), Muscat•",2,2,160000,150,For Sale
"Luxury 1BR + Study with Sea View – Juman One, Al Mouj","The Wave (Almouj), Muscat•",1,1,120000,104,For Sale
استخدم خدماتنا تساعدك في بيع عقارك/Sell ​​your property/free marketing,"The Wave (Almouj), Muscat•",1,1,1000,10,For Sale
Free Hold!! Furnished 1BHK Apartment with Pool View in Muscat Hills,"Muscat Hills, Muscat•",1,2,72000,78,For Sale
شقة ستوديو للبيع في واحة المعرفة | Studio with payment plan in Muscat,"Al Khoud, Muscat•",1,1,47000,57,For Sale
Luxurious 1 BHK Apartment for Sale in Yenaier - Sultan Haitham City,"Sultan Haitham City, Muscat•",1,2,62000,73,For Sale
"For Sale – Elegant Villa in Al Ghadeer Garden , Al Mouj Muscat","The Wave (Almouj), Muscat•",3,3,295000,269,For Sale
For Sale | 2 Bed + Maid – Full Marina View | Al Mouj Muscat,"The Wave (Almouj), Muscat•",2,2,265000,181,For Sale
Modern 2BR + Study Apartment for Sale in Acacia,"The Wave (Almouj), Muscat•",2,2,135000,138,For Sale
شقة للبيع بمسقط هيلز Apartment for Sale in Muscat Hills,"Muscat Hills, Muscat•",2,3,72000,108,For Sale
Own your villa in wadi zaha -freehold for local and expats,"Sultan Haitham City, Muscat•",3,3,154000,209,For Sale
“Own Your Studio in Wadi Zaha –   100% Freehold for Expats & Locals,"Sultan Haitham City, Muscat•",1,1,42000,52,For Sale
Off- plan Apartments for Sale - Al Khoud | شقق قيد الإنشاء في الخوض,"Al Khoud, Muscat•",1,2,21000,53,For Sale
محل قيد الانشاء للبيع-المعبيلة  |Off- plan Shop for Sale-Almubilah,"Al Maabilah, Muscat•",3,3,52000,36,For Sale
شقق قيد الانشاء للبيع-المعبيلة  |Off- plan Apartments for Sale,"Al Maabilah, Muscat•",1,2,17000,55,For Sale
محل قيد الانشاء للبيع-بوشر |Off- plan Shop for Sale- Bushar,"Bosher, Muscat•",3,3,20000,21,For Sale
فيلا مستقلة للبيع,"Al Khuwair, Muscat•",7,6,100000,380,For Sale
بناية سكنية للبيع مؤجرة بالكامل,"Al Ghubrah, Muscat•",3,3,200000,1,For Sale
شقق فاخرة للبيع,"Azaiba, Muscat•",2,3,48000,118,For Sale
شقة بنتهاوس للبيع,"Bosher, Muscat•",1,1,35000,79,For Sale
فيلا حديثة الطراز بتشطيبات و مواصفات شخصية,"Al Maabilah, Muscat•",5,7,85000,322,For Sale
Live by the beach. Wake up to the marina. Own your place in luxury,"The Wave (Almouj), Muscat•",1,1,78000,70,For Sale
Villa for Sale with 4 BHK in Sultan Haitham City,"Al Maabilah, Muscat•",4,4,340000,380,For Sale
5 bedroom villa for sale in Muscat Bay,"Qantab, Muscat•",5,5,950000,646,For Sale
Villa for Sale in Salalah with 4 bedrooms,"Salalah, Dhofar•",4,5,338000,243,For Sale
"installments for 120 months,own your apmnt, office or shop,No upfront","Ghala, Muscat•",1,2,35000,86,For Sale
Wonderful 1 BHK Apartment Sustainable City | Installment,"Yiti, Muscat•",1,2,85000,72,For Sale
"Gorgeous Sea View branded apartment, Feehold","The Wave (Almouj), Muscat•",2,3,470000,203,For Sale
Hotel Apartment for Sale | Prime Sea View Location,"The Wave (Almouj), Muscat•",3,5,599000,262,For Sale
2BHK Apartment in AIDA |Great Escape 2–شراء شقة عايدة فقط 5٪ دفعة أولى,"Yiti, Muscat•",2,3,140000,95,For Sale
Villa for Sale with 4 BHK in Muscat Yiti,"Yiti, Muscat•",4,4,491000,384,For Sale
fully furnished villa in Muscat,"Yiti, Muscat•",3,3,269000,124,For Sale
6 Bedroom villa for sale in Al Mouj Muscat Jinan Island,"The Wave (Almouj), Muscat•",6,7,1000,907,For Sale
Villa for Sale with 4 Bedrooms,"Salalah, Dhofar•",4,5,335000,234,For Sale
Villa for Sale with 4 Bedrooms in Salalah,"Salalah, Dhofar•",4,5,338000,243,For Sale
Villa for Sale with 4 Bedrooms in Yiti,"Yiti, Muscat•",4,6,326000,286,For Sale
5 bedroom Villa for Sale in Muscat Bay,"Qantab, Muscat•",5,6,950000,750,For Sale
Villa for Sale with 4 Bedrooms - فيلا للبيع,"Sultan Haitham City, Muscat•",4,6,340000,140,For Sale
شقة دوبليكس غرفتين وصالة للبيع -مرتفعات غلا على إطلالة مميزة,"Ghala, Muscat•",2,3,55000,100,For Sale
Lovely 3 Bedroom apartment in Qurum for Sale,"Qurum, Muscat•",3,5,69000,138,For Sale
منزل للبيع المعبيلة الجنوبية مقابل الممشى والمنتزهات,"Al Maabilah, Muscat•",8,7,89000,388,For Sale
"‎شقة بدخل ٥سنوي -٦%، هوانا | Yearly 5-6% return apartment, Hawana","Salalah, Dhofar•",1,1,100000,30,For Sale
شقق قيد الانشاء للبيع - الحيل | Off-Plan Apartments for Sale,"Al Hail, Muscat•",1,2,23000,64,For Sale
Apartment for Sale with 24 month Installment,"Muscat Hills, Muscat•",2,3,77000,104,For Sale
"Apartment for Sale, 24 Months Installment, Muscat Hills","Muscat Hills, Muscat•",2,3,95000,129,For Sale
Apartment for Sale in Muscat Hills with 24 Months Installment,"Muscat Hills, Muscat•",2,3,87000,114,For Sale
Villa for Sale in Muscat Hills with pool,"Muscat Hills, Muscat•",5,6,320000,433,For Sale
Shop for Sale in Muscat Hills with Installment,"Muscat Hills, Muscat•",3,3,170000,103,For Sale
"Studio for Sale in Muscat, ITC, Off Plan, 3 Years Installment","Muscat Hills, Muscat•",3,1,9000,49,For Sale
"Apartment for Sale in Muscat Hills, Off Plan, 36 Month Installment","Muscat Hills, Muscat•",1,2,12000,81,For Sale
"Apartment for Sale in Golf Tower, Muscat Hills, Semi Furnished","Muscat Hills, Muscat•",2,3,79000,130,For Sale
Villa for Sale with Installment in Muscat Hills,"Muscat Hills, Muscat•",4,5,120000,800,For Sale
Shop for Sale in Business Tower 2 Muscat Hills with installment,"Muscat Hills, Muscat•",3,3,118000,73,For Sale
Apartment for Sale with 1 BHK Furnished in Muscat Hills,"Muscat Hills, Muscat•",1,2,78000,108,For Sale
ADS902**4 BHK + 2 Maid's Room Villa for sales Beautiful Standalone Vi,"Qurum, Muscat•",4,5,470000,420,For Sale
1BHK Appartment in Aida Great Escape2-- 5 % downpayment شراء شقة عايدة,"Yiti, Muscat•",1,2,90000,57,For Sale
Sea View | Furnished Beachfront 2BHK Villa| Private Pool | Jebel Sifah,"Al Sifah, Muscat•",2,3,265000,139,For Sale
FREE HOLD!! Own your  villa in Sultan Haitham City,"Sultan Haitham City, Muscat•",4,6,340000,388,For Sale
Canal View | Big Terrace | Furnished Corner 2BHK Apartment in Al Mouj,"The Wave (Almouj), Muscat•",2,2,140000,126,For Sale
