property_name,sale_price,prop_location,prop_area,prop_bathrooms,number_of_rooms
شقق سكنية قيد الانشاء في الخوض,"OMR 27,000","Al Khoud, Muscat•",60 SQM,2,1
twin villa barka shoman,"OMR 61,000","Barka, Al Batinah•",322 SQM,6,4
مخطط سكني تجاري,OMR 125,"Barka, Al Batinah•",750 SQM,not mentioned,not mentioned
الحيل الشمالية,"OMR 120,000","Al Hail, Muscat•",680 SQM,7,5
أرض للبيع في صياء الملحه للتواصل 95770028,"OMR 7,000","Qurayyat, Muscat•",600 SQM,not mentioned,not mentioned
فلة من توين فيلا للبيع في فلج الشام,"OMR 140,000","Bosher, Muscat•",300 SQM,6,4
منزل للبيع,"OMR 40,000","Qurayyat, Muscat•",367 SQM,4,3
ارض للبيع قريب البحر,"OMR 23,000","Barka, Al Batinah•",600 SQM,not mentioned,not mentioned
انا المالك. . بركاء القريحة الثامنة,"OMR 5,800","Barka, Al Batinah•",600 SQM,not mentioned,not mentioned
"منزل للبيع في روي  منطقة الولجهHouse for sale in Ruwi, Al Walajah area","OMR 45,000","Ruwi, Muscat•",214 SQM,not mentioned,not mentioned
أرض في العامرات /عدن,"OMR 16,500","Al Amarat, Muscat•",600 SQM,not mentioned,not mentioned
أرض سكنية تجارية للبيع,"OMR 110,000","Al Maabilah, Muscat•",400 SQM,not mentioned,not mentioned
Business Center for Sale in Al Mouj Muscat – Freehold,"OMR 8,500,000","The Wave (Almouj), Muscat•","4,500 SQM",not mentioned,not mentioned
مركز أعمال للبيع في الموج مسقط – موقع مميز بعائد استثماري 8%,"OMR 8,000,000","The Wave (Almouj), Muscat•","4,500 SQM",not mentioned,not mentioned
ارض في صحم (مخيليف),"OMR 35,000","Saham, Al Batinah•",600 SQM,not mentioned,not mentioned
ارض في الموالح,OMR 135,"Al Mawaleh, Muscat•",605 SQM,not mentioned,not mentioned
ارض سكنيه في الدقم,"OMR 6,500","Al Duqum, Al Wusta•","1,000 SQM",not mentioned,not mentioned
محل مخبز يدوي (تنور) للبيع,"OMR 1,300","Al Amarat, Muscat•",24 SQM,not mentioned,not mentioned
فرصة بيت عربي العامرات السادسة البريد جنب المحكمة و السوق,"OMR 42,000","Al Amarat, Muscat•",588 SQM,2,2
Al saFa market on road villas,"OMR 85,000","Al Maabilah, Muscat•",380 SQM,9,9
مطلوب أرض للبيع,OMR 100,"Al Mawaleh, Muscat•",400 SQM,not mentioned,not mentioned
أرض سكنية للبيع _ بركة الموز,"OMR 21,000","Nizwa, Al Dakhiliya•",657 SQM,not mentioned,not mentioned
مباني سكني تجاري بوشر و ولايات محافظة مسقط Buildings commercial sale,"OMR 4,000,000","Bosher, Muscat•","1,000 SQM",not mentioned,not mentioned
مسيال السدر  صحار,"OMR 14,000","Sohar, Al Batinah•",600 SQM,not mentioned,not mentioned
مقهى في موقع ممتاز للبيع في صلالة,"OMR 1,900","Salalah, Dhofar•",20 SQM,not mentioned,not mentioned
أرض في العقدة ٣,"OMR 12,000","Barka, Al Batinah•",634 SQM,not mentioned,not mentioned
أرض صناعية للبيع في صحار – فلج العوهي | Industrial Land 4 Sale  Sohar,"OMR 100,000","Sohar, Al Batinah•","1,000 SQM",not mentioned,not mentioned
welding wrqshop,"OMR 1,000","Shalim and The Hallaniyat Island, Dhofar•",15 SQM,not mentioned,not mentioned
توين فلة منفصل اول خط شارع النور,"OMR 105,000","Al Maabilah, Muscat•",411 SQM,8,5
سكني تجاري المسفاه الثانيه  جميع الخدمات,"OMR 59,000","Bosher, Muscat•",400 SQM,not mentioned,not mentioned
ارض للبيع في الهوب,"OMR 27,000","Sumail, Al Dakhiliya•",600 SQM,not mentioned,not mentioned
بهلا الغافات,"OMR 17,000","Bahla, Al Dakhiliya•",600 SQM,not mentioned,not mentioned
فيلا المروج دورين وملحق جديدة مودرن 2025,"OMR 110,000","Salalah, Dhofar•",527 SQM,8,6
ارض لبيع في حي الفيحاء,"OMR 10,000","Sumail, Al Dakhiliya•",600 SQM,not mentioned,not mentioned
Running Garage For Sale near Main Road,"OMR 4,500","Misfah, Muscat•","1,000 SQM",not mentioned,not mentioned
أرض سكنية للبيع,"OMR 10,000","Sohar, Al Batinah•",600 SQM,not mentioned,not mentioned
صحار الهمبار,"OMR 20,000","Sohar, Al Batinah•",530 SQM,not mentioned,not mentioned
منزل أرضي للبيع شبه كونر خلف نستو من المالك مباشرة,"OMR 88,000","Al Maabilah, Muscat•",781 SQM,5,6
mobile shop for sale in ghubra prime location,"OMR 11,000","Al Ghubrah, Muscat•",26 SQM,not mentioned,not mentioned
منزل للبيع بالمعبيلة الجنوبية,"OMR 52,000","Al Maabilah, Muscat•",400 SQM,5,4
أرض سكنيه للبيع في منطقة السيفه,"OMR 10,300","Al Sifah, Muscat•",600 SQM,not mentioned,not mentioned
أرض سكنيه للبيع في ولاية قريات الساحل,"OMR 9,800","Qurayyat, Muscat•",600 SQM,not mentioned,not mentioned
منزل للبيع الخوير ١٧/٢,"OMR 65,000","Al Khuwair, Muscat•",299 SQM,3,4
سمائل,"OMR 25,000","Sumail, Al Dakhiliya•",88 SQM,2,2
ارض للبيع في العقدة الشمالية,"OMR 3,500","Al Buraimi, Al Buraimi•",600 SQM,not mentioned,not mentioned
فلة بالمعبيلة الرابعة بسعر مغري يمكن التبادل بشقتين نفس السعر,"OMR 54,000","Al Maabilah, Muscat•",225 SQM,5,6
ارض زراعية للبيع في البله بركا,"OMR 80,000","Barka, Al Batinah•","9,325 SQM",not mentioned,not mentioned
ارض للبيع مميزه عوقد الشماليه بجانب منتجع بلاد بوينت مطلوب مليون ونص,"OMR 1,500,000","Salalah, Dhofar•","13,000 SQM",not mentioned,not mentioned
فرصه عرض مميز مبنى تجاري وسط احياء منتعشه وحركه وعلى شارع عام,"OMR 200,000","Salalah, Dhofar•",318 SQM,not mentioned,not mentioned
منزل للبيع,"OMR 80,000","Al Maabilah, Muscat•",396 SQM,8,6
توين فيلا بركاء النعمان,"OMR 56,000","Barka, Al Batinah•",296 SQM,6,5
فله للبيع,"OMR 87,000","Al Maabilah, Muscat•",382 SQM,8,8
Asma Residence,"OMR 48,900","Bosher, Muscat•",114.94 SQM,2,2
Asma Residence,"OMR 52,204.95","Bosher, Muscat•",96.92 SQM,2,1
للبيع ارض في قنتب,"OMR 75,000","Qantab, Muscat•",400 SQM,not mentioned,not mentioned
شقة للبيع ممتازة للاستثمار  apartment for sale for in Jebel Siffah,"OMR 55,000","Al Sifah, Muscat•",82 SQM,1,1
شقه مؤجره ب٧٥٠ رع للبيع في جراند مول,"OMR 90,000","Al Khuwair, Muscat•",155 SQM,3,2
FOR SALE – LUXURY FLAT WITH SWIMMING POOL VIEW!,"OMR 93,000","Muscat Hills, Muscat•",106 SQM,3,2
جحلوت المرحلة الأولى,"OMR 10,000","Al Amarat, Muscat•",707 SQM,not mentioned,not mentioned
منزل للبيع في معبيله الصناعيه كورنر,"OMR 52,000","Al Maabilah, Muscat•",400 SQM,4,4
ابحث عن ارض تجاريه الخط الاول بالعامرات مدينه النهضه شراء بالكاش فوراً,"OMR 45,000","Al Amarat, Muscat•",400 SQM,not mentioned,not mentioned
ڤلة للبيع في طاقة مربع ط,"OMR 37,000","Taqah, Dhofar•",300 SQM,4,5
ارض للبيع في الجفنين/الخرس,"OMR 160,000","Al Rusayl, Muscat•","1,666 SQM",not mentioned,not mentioned
